Distance,Gender,Catergory,TimeFrom,TimeTo,Points
10,Male,Great Grand Master,01:29:46,01:33:00,4
10,Male,Great Grand Master,01:33:01,01:36:15,3
10,Male,Great Grand Master,01:36:16,01:40:00,2
10,Male,Great Grand Master,01:40:01,Finisher,1
8,Male,Junior,00:00:00,01:06:56,10
8,Male,Junior,01:06:57,01:14:39,9
8,Male,Junior,01:14:40,01:22:23,8
8,Male,Junior,01:22:24,01:30:06,7
8,Male,Junior,01:30:07,01:37:50,6
8,Male,Junior,01:37:51,01:45:33,5
8,Male,Junior,01:45:34,01:53:16,4
8,Male,Junior,01:53:17,02:01:00,3
8,Male,Junior,02:01:01,02:08:43,2
8,Male,Junior,02:08:44,Finisher,1
8,Male,Senior,00:00:00,01:06:56,10
8,Male,Senior,01:06:57,01:14:39,9
8,Male,Senior,01:14:40,01:22:23,8
8,Male,Senior,01:22:24,01:30:06,7
8,Male,Senior,01:30:07,01:37:50,6
8,Male,Senior,01:37:51,01:45:33,5
8,Male,Senior,01:45:34,01:53:16,4
8,Male,Senior,01:53:17,02:01:00,3
8,Male,Senior,02:01:01,02:08:43,2
8,Male,Senior,02:08:44,Finisher,1
8,Male,Veteran,00:00:00,01:14:39,10
8,Male,Veteran,01:14:40,01:23:16,9
8,Male,Veteran,01:23:17,01:31:53,8
8,Male,Veteran,01:31:54,01:40:30,7
8,Male,Veteran,01:40:31,01:49:07,6
8,Male,Veteran,01:49:08,01:57:44,5
8,Male,Veteran,01:57:45,02:06:21,4
8,Male,Veteran,02:06:22,02:14:57,3
8,Male,Veteran,02:14:58,02:23:34,2
8,Male,Veteran,02:23:35,Finisher,1
8,Male,Master,00:00:00,01:22:23,10
8,Male,Master,01:22:24,01:31:53,9
8,Male,Master,01:31:54,01:41:24,8
8,Male,Master,01:41:25,01:50:54,7
8,Male,Master,01:50:55,02:00:24,6
8,Male,Master,02:00:25,02:09:54,5
8,Male,Master,02:09:55,02:19:25,4
8,Male,Master,02:19:26,02:28:55,3
8,Male,Master,02:28:56,Finisher,1
8,Male,Grand Master,00:00:00,01:28:49,10
8,Male,Grand Master,01:28:50,01:39:04,9
8,Male,Grand Master,01:39:05,01:49:19,8
8,Male,Grand Master,01:49:20,01:59:34,7
8,Male,Grand Master,01:59:35,02:09:49,6
8,Male,Grand Master,02:09:50,02:20:03,5
8,Male,Grand Master,02:20:04,02:30:18,4
8,Male,Grand Master,02:30:19,Finisher,1
8,Male,Great Grand Master,00:00:00,01:34:37,10
8,Male,Great Grand Master,01:34:38,01:45:32,9
8,Male,Great Grand Master,01:45:33,01:56:27,8
8,Male,Great Grand Master,01:56:28,02:07:22,7
8,Male,Great Grand Master,02:07:23,02:18:16,6
8,Male,Great Grand Master,02:18:17,Finisher,1
15,Male,Junior,00:00:00,01:19:30,10
15,Male,Junior,01:19:31,01:28:15,9
15,Male,Junior,01:28:16,01:37:00,8
15,Male,Junior,01:37:01,01:45:45,7
15,Male,Junior,01:45:46,01:54:30,6
15,Male,Junior,01:54:31,02:03:15,5
15,Male,Junior,02:03:16,02:12:00,4
15,Male,Junior,02:12:01,02:20:45,3
15,Male,Junior,02:20:46,02:30:00,2
15,Male,Junior,02:30:01,Finisher,1
15,Male,Senior,00:00:00,01:19:30,10
15,Male,Senior,01:19:31,01:28:15,9
15,Male,Senior,01:28:16,01:37:00,8
15,Male,Senior,01:37:01,01:45:45,7
15,Male,Senior,01:45:46,01:54:30,6
15,Male,Senior,01:54:31,02:03:15,5
15,Male,Senior,02:03:16,02:12:00,4
15,Male,Senior,02:12:01,02:20:45,3
15,Male,Senior,02:20:46,02:30:00,2
15,Male,Senior,02:30:01,Finisher,1
15,Male,Veteran,00:00:00,01:28:15,10
15,Male,Veteran,01:28:16,01:36:00,9
15,Male,Veteran,01:36:01,01:43:45,8
15,Male,Veteran,01:43:46,01:51:30,7
15,Male,Veteran,01:51:31,01:59:15,6
15,Male,Veteran,01:59:16,02:07:00,5
15,Male,Veteran,02:07:01,02:14:45,4
15,Male,Veteran,02:14:46,02:22:30,3
15,Male,Veteran,02:22:31,02:30:00,2
15,Male,Veteran,02:30:01,Finisher,1
15,Male,Master,00:00:00,01:37:00,10
15,Male,Master,01:37:01,01:43:45,9
15,Male,Master,01:43:46,01:50:30,8
15,Male,Master,01:50:31,01:57:15,7
15,Male,Master,01:57:16,02:04:00,6
15,Male,Master,02:04:01,02:10:45,5
15,Male,Master,02:10:46,02:17:30,4
15,Male,Master,02:17:31,02:24:15,3
15,Male,Master,02:24:16,02:30:00,2
15,Male,Master,02:30:01,Finisher,1
15,Male,Grand Master,00:00:00,01:45:00,10
15,Male,Grand Master,01:45:01,01:50:30,9
15,Male,Grand Master,01:50:31,01:56:00,8
15,Male,Grand Master,01:56:01,02:01:30,7
15,Male,Grand Master,02:01:31,02:07:00,6
15,Male,Grand Master,02:07:01,02:12:30,5
15,Male,Grand Master,02:12:31,02:18:00,4
15,Male,Grand Master,02:18:01,02:23:30,3
15,Male,Grand Master,02:23:31,02:30:00,2
15,Male,Grand Master,02:30:01,Finisher,1
15,Male,Great Grand Master,00:00:00,01:52:45,10
15,Male,Great Grand Master,01:52:46,01:57:15,9
15,Male,Great Grand Master,01:57:16,02:01:45,8
15,Male,Great Grand Master,02:01:46,02:06:15,7
15,Male,Great Grand Master,02:06:16,02:10:45,6
15,Male,Great Grand Master,02:10:46,02:15:15,5
15,Male,Great Grand Master,02:15:16,02:19:45,4
15,Male,Great Grand Master,02:19:46,02:24:15,3
15,Male,Great Grand Master,02:24:16,02:30:00,2
15,Male,Great Grand Master,02:30:01,Finisher,1
21,Male,Junior,00:00:00,01:54:00,10
21,Male,Junior,01:54:01,02:06:00,9
21,Male,Junior,02:06:01,02:18:00,8
21,Male,Junior,02:18:01,02:30:00,7
21,Male,Junior,02:30:01,02:42:00,6
21,Male,Junior,02:42:01,02:54:00,5
21,Male,Junior,02:54:01,03:06:00,4
21,Male,Junior,03:06:01,03:18:00,3
21,Male,Junior,03:18:01,03:30:00,2
21,Male,Junior,03:30:01,Finisher,1
21,Male,Senior,00:00:00,01:54:00,10
21,Male,Senior,01:54:01,02:06:00,9
21,Male,Senior,02:06:01,02:18:00,8
21,Male,Senior,02:18:01,02:30:00,7
21,Male,Senior,02:30:01,02:42:00,6
21,Male,Senior,02:42:01,02:54:00,5
21,Male,Senior,02:54:01,03:06:00,4
21,Male,Senior,03:06:01,03:18:00,3
21,Male,Senior,03:18:01,03:30:00,2
21,Male,Senior,03:30:01,Finisher,1
21,Male,Veteran,00:00:00,02:06:00,10
21,Male,Veteran,02:06:01,02:16:30,9
21,Male,Veteran,02:16:31,02:27:00,8
21,Male,Veteran,02:27:01,02:37:30,7
21,Male,Veteran,02:37:31,02:48:00,6
21,Male,Veteran,02:48:01,02:58:30,5
21,Male,Veteran,02:58:31,03:09:00,4
21,Male,Veteran,03:09:01,03:19:30,3
21,Male,Veteran,03:19:31,03:30:00,2
21,Male,Veteran,03:30:01,Finisher,1
21,Male,Master,00:00:00,02:18:00,10
21,Male,Master,02:18:01,02:27:00,9
21,Male,Master,02:27:01,02:36:00,8
21,Male,Master,02:36:01,02:45:00,7
21,Male,Master,02:45:01,02:54:00,6
21,Male,Master,02:54:01,03:03:00,5
21,Male,Master,03:03:01,03:12:00,4
21,Male,Master,03:12:01,03:21:00,3
21,Male,Master,03:21:01,03:30:00,2
21,Male,Master,03:30:01,Finisher,1
